Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
MARA Scholarship,UG,41,Chinese,"RM36,906",Law and Social Sciences,6,2.35,N/A,N/A,N/A,2.14,47,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM74,261",Engineering,6,N/A,0.0,N/A,N/A,N/A,43,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM69,459",Business and Finance,4,N/A,2.0,N/A,N/A,2.27,59,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Malay,"RM95,892",Sciences,8,3.97,N/A,N/A,N/A,4.0,36,Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM34,507",Engineering,5,3.73,N/A,N/A,N/A,2.78,45,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM20,852",Engineering,8,N/A,N/A,N/A,3.32,N/A,36,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM122,675",Law and Social Sciences,7,N/A,N/A,N/A,3.02,N/A,42,Not Eligible,Rejected
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM14,352",Computer Science and IT,0,N/A,0.0,N/A,N/A,N/A,61,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM79,638",Sciences,1,1.94,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM51,437",Medicine and Health Care,4,N/A,N/A,N/A,2.26,2.0,40,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM51,992",Engineering,11,N/A,N/A,N/A,3.7,N/A,40,Eligible,Accepted
MARA Scholarship,PG,30,Malay,"RM13,406",Business and Finance,9,N/A,N/A,3.36,N/A,3.51,36,Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM40,784",Engineering,5,N/A,N/A,N/A,2.6,N/A,42,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM29,700",Computer Science and IT,3,N/A,N/A,N/A,2.32,2.49,46,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,27,Malay,"RM19,478",Business and Finance,6,N/A,N/A,N/A,2.87,N/A,44,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM25,157",Sciences,7,N/A,N/A,N/A,3.65,N/A,36,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM31,562",Computer Science and IT,9,N/A,2.0,N/A,N/A,N/A,41,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM20,317",Medicine and Health Care,8,N/A,N/A,N/A,3.35,N/A,71,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM40,517",Sciences,8,2.75,N/A,N/A,N/A,N/A,50,Not Eligible,Rejected
MARA Scholarship,UG,27,Malay,"RM71,902",Engineering,6,N/A,N/A,1.98,N/A,N/A,36,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM12,000",Business and Finance,5,N/A,N/A,N/A,2.13,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM25,189",Engineering,10,4.0,N/A,N/A,N/A,N/A,37,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Malay,"RM49,157",Law and Social Sciences,3,2.34,N/A,N/A,N/A,N/A,33,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,36,Indian,"RM90,060",Computer Science and IT,8,N/A,2.0,N/A,N/A,3.56,37,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Chinese,"RM20,570",Business and Finance,7,N/A,N/A,N/A,3.32,3.76,37,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM29,247",Sciences,6,N/A,N/A,N/A,2.51,N/A,56,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Malay,"RM49,446",Law and Social Sciences,4,N/A,1.0,N/A,N/A,N/A,33,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM61,117",Law and Social Sciences,3,N/A,N/A,N/A,2.25,N/A,38,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Malay,"RM183,813",Law and Social Sciences,4,N/A,N/A,N/A,2.3,2.2,72,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM21,459",Sciences,7,N/A,N/A,N/A,3.2,N/A,68,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,27,Indian,"RM143,116",Computer Science and IT,6,N/A,3.0,N/A,N/A,3.25,48,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM20,939",Computer Science and IT,10,N/A,N/A,N/A,3.69,N/A,36,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Chinese,"RM88,962",Sciences,6,N/A,N/A,N/A,1.79,N/A,44,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Chinese,"RM12,000",Law and Social Sciences,3,N/A,2.0,N/A,N/A,N/A,50,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM22,463",Sciences,7,2.43,N/A,N/A,N/A,N/A,39,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM16,905",Computer Science and IT,9,3.59,N/A,N/A,N/A,N/A,41,Eligible,Accepted
MARA Scholarship,PG,36,Malay,"RM36,247",Medicine and Health Care,11,3.66,N/A,N/A,N/A,3.72,41,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,32,Indian,"RM112,542",Medicine and Health Care,4,2.82,N/A,N/A,N/A,3.16,42,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM74,176",Business and Finance,3,N/A,N/A,2.21,N/A,2.32,73,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM55,804",Business and Finance,7,N/A,3.0,N/A,N/A,N/A,37,Eligible,Rejected
MARA Scholarship,UG,33,Bumiputera Sabah / Sarawak,"RM39,257",Medicine and Health Care,7,N/A,N/A,3.07,N/A,N/A,41,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,33,Indian,"RM110,420",Medicine and Health Care,4,N/A,N/A,N/A,1.88,2.0,76,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM201,969",Sciences,3,N/A,N/A,2.14,N/A,2.0,54,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Malay,"RM25,205",Law and Social Sciences,5,N/A,N/A,N/A,2.63,N/A,36,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM41,371",Sciences,7,N/A,N/A,3.32,N/A,N/A,79,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM12,173",Business and Finance,8,3.02,N/A,N/A,N/A,N/A,37,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM55,150",Law and Social Sciences,11,N/A,3.0,N/A,N/A,N/A,36,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,29,Malay,"RM115,943",Medicine and Health Care,11,3.91,N/A,N/A,N/A,4.0,41,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM48,021",Engineering,0,0.89,N/A,N/A,N/A,N/A,48,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Malay,"RM27,780",Engineering,10,N/A,2.0,N/A,N/A,3.17,44,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM93,384",Medicine and Health Care,4,N/A,N/A,N/A,2.83,N/A,66,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Malay,"RM17,218",Computer Science and IT,7,N/A,1.0,N/A,N/A,2.55,80,Not Eligible,Rejected
JPA Scholarship,PG,26,Chinese,"RM56,772",Business and Finance,5,2.74,N/A,N/A,N/A,2.81,45,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM64,155",Medicine and Health Care,4,N/A,2.0,N/A,N/A,N/A,71,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM94,201",Engineering,6,2.87,N/A,N/A,N/A,N/A,36,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,26,Malay,"RM25,019",Law and Social Sciences,11,N/A,4.0,N/A,N/A,N/A,46,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,38,Malay,"RM74,075",Computer Science and IT,10,N/A,N/A,3.12,N/A,3.71,37,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Indian,"RM47,122",Business and Finance,6,N/A,1.0,N/A,N/A,2.47,61,Not Eligible,Rejected
MARA Scholarship,UG,34,Indian,"RM129,901",Sciences,8,N/A,N/A,3.51,N/A,3.62,46,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM33,761",Computer Science and IT,3,N/A,N/A,2.14,N/A,N/A,75,Not Eligible,Rejected
JPA Scholarship,PG,30,Malay,"RM94,244",Computer Science and IT,9,3.29,N/A,N/A,N/A,3.95,37,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM64,401",Business and Finance,4,2.49,N/A,N/A,N/A,2.76,54,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Malay,"RM12,000",Law and Social Sciences,8,N/A,N/A,3.57,N/A,N/A,41,Eligible,Accepted
JPA Scholarship,PG,28,Bumiputera Sabah / Sarawak,"RM67,839",Business and Finance,6,N/A,N/A,N/A,2.39,2.79,36,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM52,923",Computer Science and IT,9,N/A,2.0,N/A,N/A,N/A,49,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM88,543",Computer Science and IT,5,N/A,N/A,N/A,2.21,3.02,81,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,26,Malay,"RM115,576",Sciences,7,N/A,1.0,N/A,N/A,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,40,Malay,"RM79,167",Sciences,5,N/A,2.0,N/A,N/A,N/A,37,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM37,873",Computer Science and IT,9,3.39,N/A,N/A,N/A,2.75,56,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM32,025",Computer Science and IT,3,2.46,N/A,N/A,N/A,N/A,35,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM90,332",Computer Science and IT,6,N/A,2.0,N/A,N/A,N/A,81,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM22,209",Business and Finance,7,N/A,3.0,N/A,N/A,N/A,56,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,34,Malay,"RM113,898",Law and Social Sciences,7,N/A,3.0,N/A,N/A,3.49,44,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM67,345",Computer Science and IT,11,N/A,4.0,N/A,N/A,4.0,41,Eligible,Accepted
MARA Scholarship,UG,36,Malay,"RM46,622",Business and Finance,5,N/A,0.0,N/A,N/A,N/A,38,Eligible,Rejected
JPA Scholarship,PG,30,Malay,"RM12,000",Medicine and Health Care,8,N/A,N/A,2.54,N/A,2.85,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Other,"RM42,368",Engineering,8,2.48,N/A,N/A,N/A,3.6,38,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM62,115",Computer Science and IT,10,N/A,N/A,N/A,3.51,N/A,38,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM133,289",Engineering,11,N/A,2.0,N/A,N/A,N/A,76,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM122,884",Engineering,9,N/A,N/A,3.36,N/A,N/A,41,Eligible,Accepted
Gamuda Scholarship,UG,18,Malay,"RM17,202",Sciences,7,N/A,2.0,N/A,N/A,N/A,47,Not Eligible,Rejected
MARA Scholarship,PG,40,Malay,"RM61,710",Business and Finance,8,N/A,N/A,3.02,N/A,3.39,41,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM37,103",Computer Science and IT,1,1.46,N/A,N/A,N/A,1.78,68,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM86,009",Computer Science and IT,5,N/A,N/A,N/A,1.79,N/A,70,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Chinese,"RM12,000",Sciences,8,N/A,4.0,N/A,N/A,N/A,38,Eligible,Rejected
JPA Scholarship,PG,27,Chinese,"RM35,852",Engineering,7,N/A,N/A,3.08,N/A,3.22,46,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Malay,"RM32,135",Engineering,5,2.09,N/A,N/A,N/A,2.75,34,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM20,816",Business and Finance,10,N/A,N/A,3.94,N/A,N/A,38,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM30,801",Medicine and Health Care,7,2.7,N/A,N/A,N/A,3.29,46,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Chinese,"RM26,417",Law and Social Sciences,7,N/A,N/A,N/A,2.65,N/A,66,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM127,323",Law and Social Sciences,7,N/A,1.0,N/A,N/A,N/A,43,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM49,914",Law and Social Sciences,8,N/A,N/A,N/A,3.78,N/A,38,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM87,898",Engineering,10,N/A,N/A,N/A,3.65,N/A,33,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM61,905",Engineering,8,3.21,N/A,N/A,N/A,N/A,38,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM36,849",Sciences,7,N/A,N/A,2.04,N/A,N/A,68,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM29,993",Law and Social Sciences,7,3.32,N/A,N/A,N/A,N/A,40,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Other,"RM18,814",Law and Social Sciences,9,2.91,N/A,N/A,N/A,3.69,47,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Chinese,"RM153,251",Computer Science and IT,8,N/A,3.0,N/A,N/A,3.09,42,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM74,314",Computer Science and IT,5,3.35,N/A,N/A,N/A,N/A,41,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM24,087",Engineering,10,N/A,N/A,3.21,N/A,N/A,40,Not Eligible,Rejected
MARA Scholarship,UG,25,Malay,"RM53,758",Sciences,3,N/A,2.0,N/A,N/A,N/A,38,Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM21,874",Sciences,9,N/A,N/A,3.15,N/A,N/A,41,Eligible,Accepted
JPA Scholarship,UG,19,Chinese,"RM45,687",Engineering,8,2.11,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM41,570",Computer Science and IT,8,N/A,N/A,3.28,N/A,N/A,58,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM113,374",Sciences,7,N/A,3.0,N/A,N/A,3.48,79,Not Eligible,Rejected
MARA Scholarship,PG,33,Bumiputera Sabah / Sarawak,"RM37,598",Business and Finance,4,N/A,2.0,N/A,N/A,2.0,85,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Chinese,"RM170,640",Law and Social Sciences,5,N/A,N/A,2.22,N/A,N/A,35,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM23,854",Sciences,9,N/A,N/A,3.08,N/A,N/A,37,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM12,000",Computer Science and IT,10,N/A,N/A,N/A,3.53,N/A,38,Eligible,Rejected
JPA Scholarship,PG,25,Malay,"RM53,709",Engineering,5,2.39,N/A,N/A,N/A,3.07,78,Not Eligible,Rejected
JPA Scholarship,PG,30,Malay,"RM174,177",Business and Finance,7,2.27,N/A,N/A,N/A,2.59,46,Not Eligible,Rejected
JPA Scholarship,PG,27,Indian,"RM25,188",Sciences,8,N/A,3.0,N/A,N/A,3.37,48,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM36,854",Business and Finance,7,3.61,N/A,N/A,N/A,3.35,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM155,611",Computer Science and IT,7,N/A,N/A,2.01,N/A,N/A,50,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM43,861",Law and Social Sciences,5,2.55,N/A,N/A,N/A,N/A,62,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM30,988",Engineering,3,N/A,N/A,1.94,N/A,N/A,54,Not Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM18,824",Engineering,4,N/A,N/A,2.13,N/A,2.48,46,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM89,673",Law and Social Sciences,4,N/A,N/A,N/A,2.81,N/A,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Bumiputera Sabah / Sarawak,"RM52,315",Sciences,9,N/A,N/A,N/A,3.38,N/A,42,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,23,Malay,"RM12,000",Law and Social Sciences,7,1.93,N/A,N/A,N/A,2.83,42,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM168,435",Business and Finance,5,N/A,N/A,N/A,2.55,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,31,Malay,"RM94,660",Engineering,7,N/A,2.0,N/A,N/A,N/A,42,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM43,795",Computer Science and IT,1,N/A,N/A,N/A,1.35,N/A,39,Not Eligible,Rejected
Gamuda Scholarship,UG,21,Malay,"RM49,659",Computer Science and IT,6,1.66,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM67,749",Business and Finance,6,N/A,2.0,N/A,N/A,2.08,56,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Malay,"RM197,700",Medicine and Health Care,5,N/A,N/A,3.06,N/A,3.19,45,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM41,754",Law and Social Sciences,9,N/A,N/A,3.29,N/A,N/A,52,Not Eligible,Rejected
MARA Scholarship,UG,30,Chinese,"RM92,449",Sciences,4,N/A,N/A,2.25,N/A,N/A,69,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM62,977",Business and Finance,4,N/A,N/A,N/A,2.4,N/A,68,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM43,004",Computer Science and IT,9,N/A,N/A,3.44,N/A,3.17,38,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM139,515",Business and Finance,5,N/A,2.0,N/A,N/A,N/A,46,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Malay,"RM27,324",Computer Science and IT,10,N/A,2.0,N/A,N/A,3.43,42,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM46,790",Business and Finance,10,N/A,4.0,N/A,N/A,N/A,38,Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Chinese,"RM93,787",Sciences,6,2.43,N/A,N/A,N/A,2.46,71,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM44,916",Law and Social Sciences,9,N/A,2.0,N/A,N/A,N/A,77,Not Eligible,Rejected
MARA Scholarship,UG,24,Chinese,"RM59,140",Business and Finance,8,3.08,N/A,N/A,N/A,N/A,36,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM94,370",Business and Finance,5,N/A,N/A,N/A,2.29,N/A,79,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Chinese,"RM209,904",Law and Social Sciences,9,N/A,4.0,N/A,N/A,N/A,42,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Bumiputera Sabah / Sarawak,"RM12,000",Computer Science and IT,6,N/A,2.0,N/A,N/A,N/A,44,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM42,171",Business and Finance,8,3.84,N/A,N/A,N/A,N/A,42,Eligible,Accepted
MARA Scholarship,PG,40,Malay,"RM35,625",Sciences,10,N/A,N/A,3.96,N/A,3.62,38,Eligible,Rejected
MARA Scholarship,UG,25,Malay,"RM65,919",Medicine and Health Care,8,3.59,N/A,N/A,N/A,N/A,39,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Bumiputera Sabah / Sarawak,"RM52,230",Engineering,9,N/A,N/A,N/A,3.48,3.34,42,Eligible,Accepted
MARA Scholarship,PG,30,Malay,"RM21,975",Computer Science and IT,5,2.16,N/A,N/A,N/A,2.48,48,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM12,000",Sciences,8,N/A,N/A,3.03,N/A,N/A,42,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM27,479",Business and Finance,8,3.44,N/A,N/A,N/A,N/A,39,Eligible,Rejected
MARA Scholarship,UG,30,Malay,"RM23,604",Law and Social Sciences,6,N/A,N/A,2.68,N/A,N/A,71,Not Eligible,Rejected
MARA Scholarship,PG,28,Malay,"RM83,931",Medicine and Health Care,4,N/A,0.0,N/A,N/A,3.44,42,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Indian,"RM16,261",Computer Science and IT,2,N/A,0.0,N/A,N/A,N/A,80,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM69,137",Computer Science and IT,7,N/A,N/A,N/A,2.95,2.59,48,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM12,000",Computer Science and IT,6,2.22,N/A,N/A,N/A,N/A,35,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM46,389",Sciences,6,N/A,N/A,N/A,2.44,N/A,39,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Bumiputera Sabah / Sarawak,"RM18,246",Sciences,11,3.65,N/A,N/A,N/A,4.0,39,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM43,563",Law and Social Sciences,8,3.91,N/A,N/A,N/A,N/A,39,Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM46,679",Sciences,4,N/A,N/A,N/A,2.75,N/A,43,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM27,173",Computer Science and IT,10,N/A,N/A,N/A,3.68,3.9,42,Eligible,Accepted
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM12,654",Sciences,10,N/A,3.0,N/A,N/A,3.33,46,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM155,313",Law and Social Sciences,9,N/A,N/A,N/A,3.9,3.49,52,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM22,789",Law and Social Sciences,6,N/A,N/A,2.51,N/A,2.93,44,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Bumiputera Sabah / Sarawak,"RM94,763",Computer Science and IT,6,2.3,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
MARA Scholarship,UG,23,Malay,"RM49,056",Computer Science and IT,1,N/A,N/A,N/A,1.19,N/A,72,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Chinese,"RM27,650",Engineering,6,2.7,N/A,N/A,N/A,3.07,46,Not Eligible,Rejected
JPA Scholarship,PG,26,Indian,"RM43,769",Computer Science and IT,7,N/A,3.0,N/A,N/A,2.55,48,Not Eligible,Rejected
MARA Scholarship,UG,39,Chinese,"RM58,208",Medicine and Health Care,7,N/A,N/A,N/A,3.14,N/A,43,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM32,246",Computer Science and IT,6,N/A,N/A,3.48,N/A,2.66,54,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM61,050",Engineering,10,N/A,2.0,N/A,N/A,N/A,64,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM84,319",Sciences,9,N/A,N/A,N/A,3.41,N/A,43,Eligible,Accepted
Shell Malaysia Scholarship,UG,21,Malay,"RM96,191",Sciences,8,3.82,N/A,N/A,N/A,N/A,39,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,26,Chinese,"RM36,430",Business and Finance,2,N/A,N/A,1.4,N/A,2.0,72,Not Eligible,Rejected
JPA Scholarship,UG,20,Malay,"RM78,710",Law and Social Sciences,3,2.22,N/A,N/A,N/A,1.58,42,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,20,Malay,"RM38,388",Sciences,9,3.37,N/A,N/A,N/A,N/A,39,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM67,049",Engineering,1,N/A,N/A,N/A,1.31,N/A,46,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM39,013",Sciences,6,N/A,2.0,N/A,N/A,N/A,74,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,26,Malay,"RM41,033",Business and Finance,4,N/A,0.0,N/A,N/A,2.43,71,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM25,824",Computer Science and IT,7,N/A,N/A,N/A,3.45,3.58,46,Not Eligible,Rejected
JPA Scholarship,UG,20,Malay,"RM12,000",Engineering,7,3.63,N/A,N/A,N/A,N/A,42,Not Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM29,450",Law and Social Sciences,9,N/A,N/A,N/A,3.49,3.08,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Bumiputera Sabah / Sarawak,"RM49,150",Business and Finance,10,N/A,4.0,N/A,N/A,N/A,39,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Other,"RM18,791",Law and Social Sciences,9,N/A,N/A,3.36,N/A,N/A,39,Eligible,Rejected
Gamuda Scholarship,UG,20,Malay,"RM48,203",Computer Science and IT,5,N/A,N/A,2.19,N/A,N/A,76,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Malay,"RM64,230",Sciences,11,N/A,2.0,N/A,N/A,3.78,43,Eligible,Accepted
JPA Scholarship,UG,19,Malay,"RM120,260",Engineering,6,N/A,N/A,N/A,3.07,N/A,38,Not Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM44,085",Law and Social Sciences,6,2.01,N/A,N/A,N/A,2.7,48,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Malay,"RM105,118",Sciences,7,N/A,4.0,N/A,N/A,2.78,51,Not Eligible,Rejected
MARA Scholarship,PG,24,Malay,"RM60,672",Business and Finance,7,2.14,N/A,N/A,N/A,2.72,34,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Chinese,"RM68,225",Law and Social Sciences,3,N/A,0.0,N/A,N/A,2.0,82,Not Eligible,Rejected
